	FID	ID	FIELD	OID_1	YLD00	YLD01	YLD02	YLD03	AVGYLD	ELE	SLOPE	CURV	PRO	PLAN	EC_SH	EC_DP	BAND1	BAND2	BAND3	BAND4	VI00_520	VI00_528	VI00_613	VI00_707	VI00_715	VI00_723	VI00_816	VI00_824	VI00_901	VI00_917	VI01_616	VI01_624	VI01_710	VI01_827	VI01_912	VI02_518	VI02_526	VI02_619	VI02_713	VI02_721	VI02_830	VI02_907	VI02_923	VI03_505	VI03_529	VI03_606	VI03_622	VI03_724	VI03_825	VI03_926	STD00	STD01	STD02	STD03	CV	M3_00	M3_01	M3_02	M3_03	M3_AV	CL_AV	CL_00	CL_01	CL_02	CL_03
0	0	3018	C29	3017	1012.7999877999998	1201.9000244000001	943.5999756000001	1082	1060.0999756	1080.06	0.0879	0.002694	-0.001178	0.001515	14.3999996	38.7000008	96	84	123	82	-0.2174	-0.1848	-0.1341	0.1712	0.2242	0.3089	0.1748	0.2216	0.1667	-0.0435	-0.1963	-0.1837	-0.0185	0.449	0.1856	-0.194690265	-0.21138211399999998	-0.21008403399999998	-0.081545064	0.040462427999999995	0.35911602200000003	0.27380952399999997	0.02617801	-0.042553191	-0.21509434	-0.157303371	-0.13636363599999998	-0.021505376	0.12857142900000001	0.085365854	1.17	0.98	0.88	1	0.144	3.0	3.0	2.0	3.0	3.0	1.0	1.0	1.0	1.0	3.0
1	1	3019	C29	3018	930.0	1352.0	1033.0999756	1202	1129.1999512	1080.08	0.0575	0.001403	-0.000473	0.00093	14.300000199999998	40.9000015	94	91	126	85	-0.2082	-0.1802	-0.1742	0.1378	0.2486	0.3505	0.3377	0.3368	0.25	-0.0192	-0.2124	-0.1803	0.0323	0.468	0.3085	-0.19298245600000002	-0.22007722	-0.22175732199999998	-0.115702479	0.053254438	0.43956044	0.345238095	0.09677419400000001	-0.053763440999999995	-0.220973783	-0.169398907	-0.163841808	-0.010869565	0.144827586	0.144578313	1.08	1.1	0.96	1	0.141	3.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	3.0
2	2	3020	C29	3019	902.0	1389.4000244000001	1073.6999512	1196	1140.3000488	1080.1	0.0906	-0.004624	0.004098	-0.000527	13.8999996	36.9000015	92	92	127	83	-0.2014	-0.1802	-0.1625	0.1416	0.2697	0.3571	0.4125	0.3069	0.25	-0.0099	-0.2054	-0.1903	0.055	0.5026	0.3438	-0.189427313	-0.218390805	-0.21702127699999998	-0.1	0.052631579000000005	0.445652174	0.345238095	0.124324324	-0.057591623	-0.219330855	-0.17021276600000002	-0.18435754199999999	-0.016042781000000002	0.140939597	0.111111111	1.04	1.13	1.0	1	0.129	3.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	3.0
3	3	3021	C29	3020	931.9000243999999	1348.0999755999999	1042.4000244	1120	1110.5999755999999	1080.13	0.1291	-0.001335	0.001011	-0.000324	14.1000004	37.0999985	96	89	127	84	-0.2041	-0.1826	-0.15	0.1217	0.2849	0.3776	0.475	0.402	0.227	-0.0246	-0.2054	-0.1822	0.0446	0.4826	0.3403	-0.19298245600000002	-0.22137404600000002	-0.215189873	-0.128	0.052631579000000005	0.425531915	0.345238095	0.10416666699999999	-0.071428571	-0.23636363600000002	-0.165775401	-0.169398907	0.005405405	0.12	0.135135135	1.08	1.1	0.97	1	0.098	2.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0
4	4	3022	C29	3021	885.0	1301.1999512	978.4000243999999	1119	1070.8000488	1080.18	0.1515	0.002538	-0.001229	0.001309	14.800000199999998	36.0999985	96	89	130	85	-0.2081	-0.181	-0.1553	0.1121	0.2737	0.3604	0.4717	0.4257	0.1976	-0.0099	-0.1964	-0.1873	0.0175	0.4694	0.3093	-0.19298245600000002	-0.218045113	-0.219917012	-0.128	0.01734104	0.387096774	0.321637427	0.09473684199999999	-0.066666667	-0.226277372	-0.183246073	-0.169398907	-0.005291005	0.099337748	0.069767442	1.02	1.0599999	0.91	1	0.124	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0
5	5	3023	C29	3022	847.2000122000002	1260.3000488	997.7999877999998	1150	1063.9000244	1080.23	0.1427	-0.001117	0.00086	-0.000257	16.0	38.2999992	94	90	130	85	-0.215	-0.1933	-0.1605	0.1043	0.2324	0.3134	0.434	0.3695	0.2093	-0.0152	-0.2	-0.1822	0.0308	0.4154	0.3128	-0.194805195	-0.218045113	-0.214876033	-0.138339921	-0.005586592	0.372340426	0.271676301	0.09189189199999999	-0.076923077	-0.219330855	-0.178947368	-0.160621762	-0.010638298000000001	0.093333333	0.075144509	0.98	1.03	0.93	1	0.136	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0
6	6	3024	C29	3023	885.0	1176.5999755999999	969.0	1094	1031.0999756	1080.28	0.1591	-0.002258	0.002139	-0.000119	16.399999599999997	39.2999992	94	94	129	85	-0.1987	-0.1724	-0.1707	0.0901	0.2444	0.3198	0.4198	0.3366	0.2169	-0.08	-0.2105	-0.1984	0.0407	0.4632	0.2887	-0.208888889	-0.21969697	-0.226337449	-0.11904761900000001	-0.010752688	0.387096774	0.29069767399999996	0.073684211	-0.051546392	-0.23636363600000002	-0.169398907	-0.18032786899999997	-0.005464481	0.10666666699999999	0.057471264	1.02	0.96	0.9	1	0.12	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0
7	7	3042	C29	3041	1062.0999756	1201.5	1146.0	1363	1193.0999755999999	1079.95	0.0618	-0.003161	0.00015	-0.003011	22.6000004	61.0	90	82	103	74	-0.1898	-0.1814	-0.1429	0.1535	0.3099	0.3978	0.5256	0.3711	0.2532	-0.0256	-0.1881	-0.179	0.0235	0.4742	0.2698	-0.19298245600000002	-0.217054264	-0.210762332	-0.033175355	0.12883435599999998	0.41899441299999995	0.33734939799999997	0.112359551	-0.04	-0.23809523800000001	-0.170454545	-0.148648649	0.011764706000000002	0.21126760600000002	0.132075472	1.23	0.98	1.0700001000000001	1	0.215	1.0	3.0	3.0	2.0	1.0	3.0	1.0	3.0	3.0	3.0
8	8	3043	C29	3042	858.9000243999999	1266.0999755999999	1073.5999756	1317	1128.9000244000001	1079.99	0.1351	-0.008512	0.005821	-0.002691	17.3999996	50.5999985	90	81	111	78	-0.2028	-0.1705	-0.141	0.1607	0.3029	0.375	0.4581	0.3918	0.1707	-0.0417	-0.1946	-0.1688	0.0326	0.4167	0.3158	-0.189427313	-0.21875	-0.21551724100000003	-0.048888889000000005	0.083333333	0.453551913	0.36144578299999996	0.131428571	-0.032608696	-0.22779922800000002	-0.164835165	-0.13924050599999999	0.045454545	0.177304965	0.125748503	0.99	1.03	1.0	1	0.207	2.0	3.0	3.0	2.0	2.0	3.0	3.0	1.0	3.0	3.0
9	9	3044	C29	3043	786.0	1492.8000488	1004.5	1229	1128.1999512	1080.08	0.1649	0.001567	-0.001382	0.000184	14.6000004	47.2000008	96	84	113	79	-0.2055	-0.177	-0.15	0.1491	0.3146	0.3782	0.465	0.3918	0.225	-0.0547	-0.2054	-0.1784	0.0561	0.4343	0.2864	-0.19298245600000002	-0.212355212	-0.21551724100000003	-0.072961373	0.016759777	0.37777777799999995	0.24705882399999998	0.058823529000000006	-0.037433155	-0.239852399	-0.15555555599999998	-0.177777778	0.038674033	0.13475177300000002	0.12345679	0.91	1.21	0.94	1	0.205	2.0	2.0	2.0	2.0	2.0	3.0	3.0	1.0	3.0	3.0
