,,,,,,Dewpoint (degree C)                    ,,,Rainfall (Inches),Relativehumidity (%)             ,,,Solarradiation (W/m^2)                ,,,"Stationpressure (mb, hpa)              ",,,temperature_2  (Degree C)               ,,,windspeed_2 (m/sec)                  ,,,,,600
year,day,date,month,dayofmonth,stationid,max,avg,min,sum,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max_time,min_time,
2001,91,4/1/2001,4,1,130,11.47,5.096211806,-2.609,0,100,61.28690972,14.08,941,263.3662361,0,891.2,885.9256944,882.1,27.12,15.80092361,5.532,7.72,4.292552083,1.405,1450,2235,
2001,92,4/2/2001,4,2,130,13.21,5.408107639,-1.444,0,100,53.70177083,17.1,982,266.0060313,0,884.9,883.3319444,881.8,27.76,17.70496528,9.35,7.52,3.975916667,0.992,1235,1925,
2001,93,4/3/2001,4,3,130,4.526,1.301180556,-2.125,0,64.52,35.99246528,14.58,897,261.0338958,0,890.3,887.5923611,884.1,27.75,17.83013889,7.31,6.03,2.689034722,0.715,1050,1850,
2001,94,4/4/2001,4,4,130,18.4,5.763152778,0.731,0,97,47.81638889,18.13,922,256.6513993,0,892.7,890.9416667,888.7,29.44,18.99354167,7.58,10.11,3.571753472,0.565,2225,910,
2001,95,4/5/2001,4,5,130,18.03,15.93982639,12.09,0,100,85.16545139,50.07,870,165.6081667,0,892.6,890.1739583,887.7,25.27,18.93961806,14.6,6.655,3.027149306,0.376,1340,155,
2001,96,4/6/2001,4,6,130,17.81,11.64090625,-4.493,0,96.5,71.02236111,22.72,889,146.6303264,0,888.9,883.9204861,876.1,24.71,17.94315972,9.38,16.1,7.917451389,3.51,1720,2330,
2001,97,4/7/2001,4,7,130,0.904,-1.32065625,-6.27,0,71.8,40.09524306,13.39,926,301.9906111,0,891.5,889.6302083,887.8,23.7,13.95324306,4.621,8.12,4.441805556,1,1210,125,
2001,98,4/8/2001,4,8,130,13.73,-0.535038194,-6.927,0.04,82.5,37.18013889,11.18,927,295.7210694,0,888.9,887.2729167,885.2,27.27,17.70048611,7.05,11.37,5.227854167,1.005,1725,2120,
2001,99,4/9/2001,4,9,130,15.02,0.61790625,-5.203,0,88.9,37.30128472,13.15,993,252.5898681,0,889.4,887.3836806,884.5,26.88,17.657375,6.387,6.33,3.211024306,0.542,1000,1225,
2001,100,4/10/2001,4,10,130,15.81,10.18153819,-10.25,0,97.7,68.74315972,16.71,226.3,65.21665625,0,885,880.815625,875.1,22.78,17.64659722,9.56,14.71,5.647364583,0.34,2235,800,
