,,,,,,Dewpoint (degree C)                    ,,,Rainfall (Inches),Relativehumidity (%)             ,,,Solarradiation (W/m^2)                ,,,"Stationpressure (mb, hpa)              ",,,temperature_2  (Degree C)               ,,,windspeed_2 (m/sec)                  ,,
year,day,date,month,dayofmonth,stationid,max,avg,min,max,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min
2001,32,2/1/2001,2,1,3,-0.147,-3.327972222,-5.51,0.06,98.9,78.20642361,51.98,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,7.9,2.172309028,0
2001,33,2/2/2001,2,2,3,-3.699,-6.141927083,-10.42,0,99.8,64.459375,21.38,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,8.03,3.106267361,0
2001,34,2/3/2001,2,3,3,1.874,-1.902177083,-4.773,0,87.2,66.66284722,42.12,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,6.31,3.961038194,2.107
2001,35,2/4/2001,2,4,3,-0.411,-2.130427083,-3.858,0,91.1,67.74190972,35.69,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,5.34,2.450097222,0
2001,36,2/5/2001,2,5,3,0.734,-1.044180556,-3.257,0,85.4,55.07371528,21.91,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,8.71,4.302024306,0
2001,37,2/6/2001,2,6,3,3.038,1.414388889,-0.022,0,95.2,72.79159722,49.39,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,6.883,3.591086806,1.225
2001,38,2/7/2001,2,7,3,7.07,1.478097222,-3.544,0,97.2,62.52857639,16.93,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,9.89,3.663083333,0.366
2001,39,2/8/2001,2,8,3,12.37,8.506802083,-4.059,0.08,99,85.06027778,57.67,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,10.55,5.705878472,1.265
2001,40,2/9/2001,2,9,3,-3.942,-7.736934028,-10.81,0,94.5,77.25131944,60.17,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,7.25,4.162239583,0.885
2001,41,2/10/2001,2,10,3,-2.51,-5.893378472,-9.17,0,99.7,85.74822917,58.28,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,5.223,2.6873125,0.45
2001,42,2/11/2001,2,11,3,2.596,-1.223440972,-4.848,0,100,83.30996528,47.47,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,4.313,2.447010417,0
2001,43,2/12/2001,2,12,3,9.66,3.467666667,-1.106,0,100,81.45086806,33.06,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,6.273,1.773065972,0
2001,44,2/13/2001,2,13,3,10.53,8.931322917,6.406,0,100,80.65385417,53.31,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,6.305,3.835815972,0.613
2001,45,2/14/2001,2,14,3,9.82,7.687090278,2.257,0,100,84.21243056,53.66,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,5.905,3.605486111,1.335
2001,46,2/15/2001,2,15,3,4.099,0.493135417,-3.193,0,100,85.81958333,29.38,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,5.265,2.099739583,0.014
2001,47,2/16/2001,2,16,3,-0.227,-2.885538194,-5.135,0,100,77.02913194,46.62,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,6.845,3.952993056,1.251
2001,48,2/17/2001,2,17,3,-3.054,-5.650034722,-9.1,0,98.8,66.20128472,29.77,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,6.045,2.825795139,0
2001,49,2/18/2001,2,18,3,1.694,-0.442753472,-3.03,0,94.4,68.51090278,35.62,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,-88.88,8.95,4.341204861,1.53
2001,50,2/19/2001,2,19,3,3.065,-2.027746528,-6.171,0,97.7,51.30083333,13.45,-88.88,-88.88,-88.88,901,899.046875,896.7,-88.88,-88.88,-88.88,7.56,3.395736111,0
2001,51,2/20/2001,2,20,3,5.628,-3.374715278,-9.23,0,100,41.63545139,10.47,-88.88,-88.88,-88.88,903,901.1659722,899.5,-88.88,-88.88,-88.88,5.99,2.868888889,0
2001,52,2/21/2001,2,21,3,5.569,3.373270833,0.489,0,100,89.37847222,53.62,-88.88,-88.88,-88.88,906.3,903.7621528,901.8,-88.88,-88.88,-88.88,4.94,2.726986111,0
2001,53,2/22/2001,2,22,3,8.72,3.9851875,0.459,0,100,93.15871528,66.95,-88.88,-88.88,-88.88,904.3,901.6652778,897.8,-88.88,-88.88,-88.88,4.915,2.586055556,0.331
2001,54,2/23/2001,2,23,3,12.75,7.793559028,3.276,0.06,100,99.94583333,98.4,-88.88,-88.88,-88.88,898,891.1576389,884.6,-88.88,-88.88,-88.88,5.75,3.751222222,1.726
2001,55,2/24/2001,2,24,3,12.84,-2.318010417,-12,0,100,53.11555556,15.86,-88.88,-88.88,-88.88,897,887.3586806,883.1,-88.88,-88.88,-88.88,16.23,7.418041667,0
2001,56,2/25/2001,2,25,3,2.772,-3.391763889,-7.17,0,87.5,49.79722222,22.51,-88.88,-88.88,-88.88,903.9,901.4121528,896.9,-88.88,-88.88,-88.88,6.085,2.540291667,0.076
2001,57,2/26/2001,2,26,3,6.867,4.322097222,1.743,0,89.6,69.41322917,41.01,-88.88,-88.88,-88.88,904.8,902.6895833,900.3,-88.88,-88.88,-88.88,5.598,2.693638889,0
2001,58,2/27/2001,2,27,3,9.45,2.332420139,-7.71,0,100,90.92083333,79.9,-88.88,-88.88,-88.88,906.2,902.4256944,900.1,-88.88,-88.88,-88.88,8.69,4.355913194,0.144
2001,59,2/28/2001,2,28,3,-1.605,-5.219329861,-7.83,0,100,95.76354167,90.3,-88.88,-88.88,-88.88,906.9,902.3583333,898.6,-88.88,-88.88,-88.88,6.758,3.487100694,0.692
2001,60,3/1/2001,3,1,3,3.771,0.534447917,-1.707,0,100,77.64385417,36.74,-88.88,-88.88,-88.88,898.5,896.0027778,893.6,-88.88,-88.88,-88.88,9.08,4.160708333,0
