ID,FIELD,YLD00,ELE,SLOPE,CURV,PRO,PLAN,EC_SH,EC_DP,BAND1,BAND2,BAND3,BAND4,VI00_520,VI00_528,VI00_613,VI00_707,VI00_715,VI00_723,VI00_816,VI00_824,VI00_901,VI00_917
3018,C29,1012.799988,1080.06,0.0879,0.002694,-0.001178,0.001515,14.3999996,38.7000008,96,84,123,82,-0.2174,-0.1848,-0.1341,0.1712,0.2242,0.3089,0.1748,0.2216,0.1667,-0.0435
3019,C29,930,1080.08,0.0575,0.001403,-0.000473,0.00093,14.3000002,40.9000015,94,91,126,85,-0.2082,-0.1802,-0.1742,0.1378,0.2486,0.3505,0.3377,0.3368,0.25,-0.0192
3020,C29,902,1080.1,0.0906,-0.004624,0.004098,-0.000527,13.8999996,36.9000015,92,92,127,83,-0.2014,-0.1802,-0.1625,0.1416,0.2697,0.3571,0.4125,0.3069,0.25,-0.0099
3021,C29,931.9000244,1080.13,0.1291,-0.001335,0.001011,-0.000324,14.1000004,37.0999985,96,89,127,84,-0.2041,-0.1826,-0.15,0.1217,0.2849,0.3776,0.475,0.402,0.227,-0.0246
3022,C29,885,1080.18,0.1515,0.002538,-0.001229,0.001309,14.8000002,36.0999985,96,89,130,85,-0.2081,-0.181,-0.1553,0.1121,0.2737,0.3604,0.4717,0.4257,0.1976,-0.0099
3023,C29,847.2000122,1080.23,0.1427,-0.001117,0.00086,-0.000257,16,38.2999992,94,90,130,85,-0.215,-0.1933,-0.1605,0.1043,0.2324,0.3134,0.434,0.3695,0.2093,-0.0152
3024,C29,885,1080.28,0.1591,-0.002258,0.002139,-0.000119,16.3999996,39.2999992,94,94,129,85,-0.1987,-0.1724,-0.1707,0.0901,0.2444,0.3198,0.4198,0.3366,0.2169,-0.08
3042,C29,1062.099976,1079.95,0.0618,-0.003161,0.00015,-0.003011,22.6000004,61,90,82,103,74,-0.1898,-0.1814,-0.1429,0.1535,0.3099,0.3978,0.5256,0.3711,0.2532,-0.0256
3043,C29,858.9000244,1079.99,0.1351,-0.008512,0.005821,-0.002691,17.3999996,50.5999985,90,81,111,78,-0.2028,-0.1705,-0.141,0.1607,0.3029,0.375,0.4581,0.3918,0.1707,-0.0417
3044,C29,786,1080.08,0.1649,0.001567,-0.001382,0.000184,14.6000004,47.2000008,96,84,113,79,-0.2055,-0.177,-0.15,0.1491,0.3146,0.3782,0.465,0.3918,0.225,-0.0547
3045,C29,779.7000122,1080.12,0.094,0.00428,-0.001075,0.003205,15.8000002,41.7000008,94,89,116,81,-0.1959,-0.188,-0.1519,0.1161,0.2955,0.3782,0.4684,0.3299,0.2025,-0.0452
