,ID,FIELD,YLD03,ELE,SLOPE,CURV,PRO,PLAN,EC_SH,EC_DP,BAND1,BAND2,BAND3,BAND4,VI01_616,VI01_624,VI01_710,VI01_827,VI01_912
0,3018,C29,1082,1080.06,0.0879,0.002694,-0.001178,0.001515,14.3999996,38.7000008,96,84,123,82,-0.1963,-0.1837,-0.0185,0.449,0.1856
1,3019,C29,1202,1080.08,0.0575,0.001403,-0.000473,0.00093,14.300000199999998,40.9000015,94,91,126,85,-0.2124,-0.1803,0.0323,0.468,0.3085
2,3020,C29,1196,1080.1,0.0906,-0.004624,0.004098,-0.000527,13.8999996,36.9000015,92,92,127,83,-0.2054,-0.1903,0.055,0.5026,0.3438
3,3021,C29,1120,1080.13,0.1291,-0.001335,0.001011,-0.000324,14.1000004,37.0999985,96,89,127,84,-0.2054,-0.1822,0.0446,0.4826,0.3403
4,3022,C29,1119,1080.18,0.1515,0.002538,-0.001229,0.001309,14.800000199999998,36.0999985,96,89,130,85,-0.1964,-0.1873,0.0175,0.4694,0.3093
5,3023,C29,1150,1080.23,0.1427,-0.001117,0.00086,-0.000257,16.0,38.2999992,94,90,130,85,-0.2,-0.1822,0.0308,0.4154,0.3128
6,3024,C29,1094,1080.28,0.1591,-0.002258,0.002139,-0.000119,16.399999599999997,39.2999992,94,94,129,85,-0.2105,-0.1984,0.0407,0.4632,0.2887
7,3042,C29,1363,1079.95,0.0618,-0.003161,0.00015,-0.003011,22.6000004,61.0,90,82,103,74,-0.1881,-0.179,0.0235,0.4742,0.2698
8,3043,C29,1317,1079.99,0.1351,-0.008512,0.005821,-0.002691,17.3999996,50.5999985,90,81,111,78,-0.1946,-0.1688,0.0326,0.4167,0.3158
9,3044,C29,1229,1080.08,0.1649,0.001567,-0.001382,0.000184,14.6000004,47.2000008,96,84,113,79,-0.2054,-0.1784,0.0561,0.4343,0.2864
10,3045,C29,1294,1080.12,0.094,0.00428,-0.001075,0.003205,15.800000199999998,41.7000008,94,89,116,81,-0.2072,-0.175,0.0698,0.4747,0.369
11,3046,C29,1249,1080.14,0.0912,0.004945,-0.002969,0.001977,15.199999800000002,38.0,96,87,119,82,-0.2018,-0.1837,0.0498,0.5179,0.369
12,3047,C29,1204,1080.17,0.097,0.000632,0.000287,0.000919,15.1000004,37.2999992,94,87,120,81,-0.2159,-0.1855,0.0541,0.4974,0.3617
13,3048,C29,1168,1080.23,0.145,0.003992,0.001317,0.005309,14.699999800000002,31.0,96,87,124,83,-0.2159,-0.1903,0.04,0.4592,0.3298
14,3049,C29,1188,1080.29,0.1633,0.003529,0.000849,0.004378,14.3999996,38.2999992,98,88,128,85,-0.2124,-0.1855,0.0308,0.466,0.2953
15,3050,C29,1121,1080.35,0.1741,0.004101,-0.002379,0.001721,13.800000199999998,43.2999992,94,93,126,87,-0.2159,-0.1873,0.0175,0.4583,0.3026
16,3051,C29,1176,1080.39,0.1309,0.004983,-0.002425,0.002558,13.199999800000002,38.2999992,94,94,127,87,-0.2105,-0.1855,0.0357,0.4479,0.3229
17,3052,C29,1170,1080.4,0.1374,-0.002629,-0.000719,-0.003349,12.8000002,37.2000008,92,92,136,91,-0.2105,-0.1855,0.0308,0.4315,0.2727
18,3053,C29,1166,1080.47,0.2421,-0.005114,0.004176,-0.000938,11.8999996,34.7000008,86,95,134,91,-0.207,-0.184,0.0218,0.404,0.2438
19,3072,C29,1297,1079.93,0.1456,0.002631,-0.003935,-0.001304,22.3999996,54.5999985,92,85,105,76,-0.2018,-0.181,0.0233,0.3968,0.2147
20,3073,C29,1368,1079.96,0.0758,-0.003038,0.002461,-0.000577,24.6000004,61.5999985,92,82,103,74,-0.1963,-0.163,0.0187,0.4516,0.2461
21,3074,C29,1306,1079.97,0.0878,-0.005263,0.003866,-0.001397,22.6000004,50.4000015,92,85,108,74,-0.1887,-0.1826,0.0431,0.4497,0.3298
