,ID,FIELD,YLD03,ELE,SLOPE,CURV,PRO,PLAN,EC_SH,EC_DP,BAND1,BAND2,BAND3,BAND4,VI02_518,VI02_526,VI02_619,VI02_713,VI02_721,VI02_830,VI02_907,VI02_923
0,3018,C29,1082,1080.06,0.0879,0.002694,-0.001178,0.001515,14.3999996,38.7000008,96,84,123,82,-0.194690265,-0.21138211399999998,-0.21008403399999998,-0.081545064,0.040462427999999995,0.35911602200000003,0.27380952399999997,0.02617801
1,3019,C29,1202,1080.08,0.0575,0.001403,-0.000473,0.00093,14.300000199999998,40.9000015,94,91,126,85,-0.19298245600000002,-0.22007722,-0.22175732199999998,-0.115702479,0.053254438,0.43956044,0.345238095,0.09677419400000001
2,3020,C29,1196,1080.1,0.0906,-0.004624,0.004098,-0.000527,13.8999996,36.9000015,92,92,127,83,-0.189427313,-0.218390805,-0.21702127699999998,-0.1,0.052631579000000005,0.445652174,0.345238095,0.124324324
3,3021,C29,1120,1080.13,0.1291,-0.001335,0.001011,-0.000324,14.1000004,37.0999985,96,89,127,84,-0.19298245600000002,-0.22137404600000002,-0.215189873,-0.128,0.052631579000000005,0.425531915,0.345238095,0.10416666699999999
4,3022,C29,1119,1080.18,0.1515,0.002538,-0.001229,0.001309,14.800000199999998,36.0999985,96,89,130,85,-0.19298245600000002,-0.218045113,-0.219917012,-0.128,0.01734104,0.387096774,0.321637427,0.09473684199999999
5,3023,C29,1150,1080.23,0.1427,-0.001117,0.00086,-0.000257,16.0,38.2999992,94,90,130,85,-0.194805195,-0.218045113,-0.214876033,-0.138339921,-0.005586592,0.372340426,0.271676301,0.09189189199999999
6,3024,C29,1094,1080.28,0.1591,-0.002258,0.002139,-0.000119,16.399999599999997,39.2999992,94,94,129,85,-0.208888889,-0.21969697,-0.226337449,-0.11904761900000001,-0.010752688,0.387096774,0.29069767399999996,0.073684211
7,3042,C29,1363,1079.95,0.0618,-0.003161,0.00015,-0.003011,22.6000004,61.0,90,82,103,74,-0.19298245600000002,-0.217054264,-0.210762332,-0.033175355,0.12883435599999998,0.41899441299999995,0.33734939799999997,0.112359551
8,3043,C29,1317,1079.99,0.1351,-0.008512,0.005821,-0.002691,17.3999996,50.5999985,90,81,111,78,-0.189427313,-0.21875,-0.21551724100000003,-0.048888889000000005,0.083333333,0.453551913,0.36144578299999996,0.131428571
9,3044,C29,1229,1080.08,0.1649,0.001567,-0.001382,0.000184,14.6000004,47.2000008,96,84,113,79,-0.19298245600000002,-0.212355212,-0.21551724100000003,-0.072961373,0.016759777,0.37777777799999995,0.24705882399999998,0.058823529000000006
10,3045,C29,1294,1080.12,0.094,0.00428,-0.001075,0.003205,15.800000199999998,41.7000008,94,89,116,81,-0.19298245600000002,-0.209125475,-0.21702127699999998,-0.069565217,0.045454545,0.38043478299999994,0.333333333,0.047120419000000004
11,3046,C29,1249,1080.14,0.0912,0.004945,-0.002969,0.001977,15.199999800000002,38.0,96,87,119,82,-0.19298245600000002,-0.20784313699999998,-0.21551724100000003,-0.08620689699999999,0.034883721,0.448648649,0.345238095,0.10989011
12,3047,C29,1204,1080.17,0.097,0.000632,0.000287,0.000919,15.1000004,37.2999992,94,87,120,81,-0.20689655199999998,-0.218390805,-0.21551724100000003,-0.08620689699999999,0.005649718000000001,0.4375,0.36144578299999996,0.106382979
13,3048,C29,1168,1080.23,0.145,0.003992,0.001317,0.005309,14.699999800000002,31.0,96,87,124,83,-0.205128205,-0.21509434,-0.219917012,-0.088607595,0.0,0.43010752700000005,0.30952381,0.08994709
14,3049,C29,1188,1080.29,0.1633,0.003529,0.000849,0.004378,14.3999996,38.2999992,98,88,128,85,-0.20535714300000002,-0.20754717,-0.219917012,-0.13253012,0.0,0.404255319,0.298245614,0.08994709
15,3050,C29,1121,1080.35,0.1741,0.004101,-0.002379,0.001721,13.800000199999998,43.2999992,94,93,126,87,-0.18974359,-0.220973783,-0.219917012,-0.12449799199999999,0.0,0.347593583,0.26436781600000003,0.06185567
16,3051,C29,1176,1080.39,0.1309,0.004983,-0.002425,0.002558,13.199999800000002,38.2999992,94,94,127,87,-0.167567568,-0.22846441899999997,-0.219917012,-0.10569105699999999,-0.015873016,0.38297872299999997,0.302325581,0.07853403099999999
17,3052,C29,1170,1080.4,0.1374,-0.002629,-0.000719,-0.003349,12.8000002,37.2000008,92,92,136,91,-0.177664975,-0.22846441899999997,-0.229508197,-0.1171875,-0.005291005,0.41489361700000005,0.284090909,0.07853403099999999
18,3053,C29,1166,1080.47,0.2421,-0.005114,0.004176,-0.000938,11.8999996,34.7000008,86,95,134,91,-0.18407960199999998,-0.222222222,-0.21138211399999998,-0.13076923099999999,-0.010309278,0.340314136,0.25,0.055837563
19,3072,C29,1297,1079.93,0.1456,0.002631,-0.003935,-0.001304,22.3999996,54.5999985,92,85,105,76,-0.203539823,-0.20784313699999998,-0.205240175,-0.061403509,0.085365854,0.25,0.19298245600000002,0.0
20,3073,C29,1368,1079.96,0.0758,-0.003038,0.002461,-0.000577,24.6000004,61.5999985,92,82,103,74,-0.20689655199999998,-0.21400778199999998,-0.21238938100000002,-0.013824885,0.10179640699999999,0.31843575399999996,0.23636363600000002,0.037433155
21,3074,C29,1306,1079.97,0.0878,-0.005263,0.003866,-0.001397,22.6000004,50.4000015,92,85,108,74,-0.198237885,-0.209486166,-0.207207207,-0.044642857,0.117647059,0.41899441299999995,0.312883436,0.08791208800000001
