ID,FIELD,YLD03,ELE,SLOPE,CURV,PRO,PLAN,EC_SH,EC_DP,BAND1,BAND2,BAND3,BAND4,VI03_505,VI03_529,VI03_606,VI03_622,VI03_724,VI03_825,VI03_926
3018,C29,1082,1080.06,0.0879,0.002694,-0.001178,0.001515,14.3999996,38.7000008,96,84,123,82,-0.042553191,-0.21509434,-0.157303371,-0.136363636,-0.021505376,0.128571429,0.085365854
3019,C29,1202,1080.08,0.0575,0.001403,-0.000473,0.00093,14.3000002,40.9000015,94,91,126,85,-0.053763441,-0.220973783,-0.169398907,-0.163841808,-0.010869565,0.144827586,0.144578313
3020,C29,1196,1080.1,0.0906,-0.004624,0.004098,-0.000527,13.8999996,36.9000015,92,92,127,83,-0.057591623,-0.219330855,-0.170212766,-0.184357542,-0.016042781,0.140939597,0.111111111
3021,C29,1120,1080.13,0.1291,-0.001335,0.001011,-0.000324,14.1000004,37.0999985,96,89,127,84,-0.071428571,-0.236363636,-0.165775401,-0.169398907,0.005405405,0.12,0.135135135
3022,C29,1119,1080.18,0.1515,0.002538,-0.001229,0.001309,14.8000002,36.0999985,96,89,130,85,-0.066666667,-0.226277372,-0.183246073,-0.169398907,-0.005291005,0.099337748,0.069767442
3023,C29,1150,1080.23,0.1427,-0.001117,0.00086,-0.000257,16,38.2999992,94,90,130,85,-0.076923077,-0.219330855,-0.178947368,-0.160621762,-0.010638298,0.093333333,0.075144509
3024,C29,1094,1080.28,0.1591,-0.002258,0.002139,-0.000119,16.3999996,39.2999992,94,94,129,85,-0.051546392,-0.236363636,-0.169398907,-0.180327869,-0.005464481,0.106666667,0.057471264
3042,C29,1363,1079.95,0.0618,-0.003161,0.00015,-0.003011,22.6000004,61,90,82,103,74,-0.04,-0.238095238,-0.170454545,-0.148648649,0.011764706,0.211267606,0.132075472
3043,C29,1317,1079.99,0.1351,-0.008512,0.005821,-0.002691,17.3999996,50.5999985,90,81,111,78,-0.032608696,-0.227799228,-0.164835165,-0.139240506,0.045454545,0.177304965,0.125748503
3044,C29,1229,1080.08,0.1649,0.001567,-0.001382,0.000184,14.6000004,47.2000008,96,84,113,79,-0.037433155,-0.239852399,-0.155555556,-0.177777778,0.038674033,0.134751773,0.12345679
3045,C29,1294,1080.12,0.094,0.00428,-0.001075,0.003205,15.8000002,41.7000008,94,89,116,81,-0.048648649,-0.230188679,-0.175824176,-0.167630058,0.016574586,0.160839161,0.128834356
3046,C29,1249,1080.14,0.0912,0.004945,-0.002969,0.001977,15.1999998,38,96,87,119,82,-0.053763441,-0.219330855,-0.155555556,-0.177142857,0.016393443,0.164383562,0.100591716
3047,C29,1204,1080.17,0.097,0.000632,0.000287,0.000919,15.1000004,37.2999992,94,87,120,81,-0.052083333,-0.22962963,-0.169398907,-0.163841808,0.02173913,0.183673469,0.125748503
3048,C29,1168,1080.23,0.145,0.003992,0.001317,0.005309,14.6999998,31,96,87,124,83,-0.052083333,-0.227941176,-0.178378378,-0.169398907,0.027322404,0.140939597,0.095238095
3049,C29,1188,1080.29,0.1633,0.003529,0.000849,0.004378,14.3999996,38.2999992,98,88,128,85,-0.056994819,-0.225092251,-0.178378378,-0.180327869,-0.010638298,0.11409396,0.057471264
3050,C29,1121,1080.35,0.1741,0.004101,-0.002379,0.001721,13.8000002,43.2999992,94,93,126,87,-0.066666667,-0.233576642,-0.177777778,-0.180327869,0.010752688,0.112582781,0.064327485
3051,C29,1176,1080.39,0.1309,0.004983,-0.002425,0.002558,13.1999998,38.2999992,94,94,127,87,-0.071428571,-0.238095238,-0.164835165,-0.171270718,0,0.112582781,0.089820359
3052,C29,1170,1080.4,0.1374,-0.002629,-0.000719,-0.003349,12.8000002,37.2000008,92,92,136,91,-0.055837563,-0.223880597,-0.182795699,-0.169398907,0.010989011,0.111111111,0.08045977
3053,C29,1166,1080.47,0.2421,-0.005114,0.004176,-0.000938,11.8999996,34.7000008,86,95,134,91,-0.064039409,-0.236363636,-0.178947368,-0.175257732,0.010989011,0.105263158,0.048648649
3072,C29,1297,1079.93,0.1456,0.002631,-0.003935,-0.001304,22.3999996,54.5999985,92,85,105,76,-0.053763441,-0.239543726,-0.168539326,-0.135483871,-0.033707865,0.14084507,0.11627907
3073,C29,1368,1079.96,0.0758,-0.003038,0.002461,-0.000577,24.6000004,61.5999985,92,82,103,74,-0.048648649,-0.234375,-0.169590643,-0.165644172,0.045977011,0.169014085,0.175
3074,C29,1306,1079.97,0.0878,-0.005263,0.003866,-0.001397,22.6000004,50.4000015,92,85,108,74,-0.055555556,-0.228915663,-0.164705882,-0.165644172,0.028248588,0.194444444,0.210191083
3075,C29,1365,1080.01,0.1702,-0.015613,0.007941,-0.007672,19.3999996,44,94,82,106,74,-0.048648649,-0.220472441,-0.162011173,-0.157232704,0.011111111,0.151079137,0.120481928
3076,C29,1257,1080.11,0.1829,0.009218,-0.00792,0.001298,17.2000008,36.5,92,86,106,76,-0.038251366,-0.228464419,-0.164835165,-0.170454545,0.054347826,0.146853147,0.064327485
3077,C29,1282,1080.15,0.0581,0.000272,0.001581,0.001854,19,37.7000008,90,84,107,75,-0.038674033,-0.233082707,-0.177777778,-0.162790698,0.043956044,0.166666667,0.1375
3078,C29,1219,1080.16,0.0699,-0.00861,0.00562,-0.002991,19.6000004,35.7999992,92,85,110,77,-0.033333333,-0.233082707,-0.169398907,-0.176470588,0.028248588,0.15862069,0.144578313
3079,C29,1251,1080.19,0.0916,-0.011649,0.006901,-0.004747,18.7000008,34.7000008,94,86,115,80,-0.032608696,-0.221374046,-0.178378378,-0.162790698,0.027932961,0.121621622,0.153374233
3080,C29,1179,1080.25,0.1588,-0.008688,0.003831,-0.004857,19.3999996,35.2999992,94,84,122,82,-0.031914894,-0.235294118,-0.178378378,-0.175141243,0.049180328,0.106666667,0.056818182
3081,C29,1131,1080.33,0.165,0.002657,-0.001599,0.001058,17.2999992,33.9000015,96,85,123,82,-0.046632124,-0.222222222,-0.178378378,-0.180327869,0.027322404,0.11409396,0.034090909
3082,C29,1189,1080.4,0.111,0.010541,-0.004673,0.005868,16.5,34,94,87,122,85,-0.052083333,-0.225092251,-0.177777778,-0.177777778,0.010989011,0.112582781,0.064327485
3083,C29,1216,1080.43,0.0624,0.004441,-0.002809,0.001633,15.3999996,30.8999996,92,92,124,84,-0.046632124,-0.234200743,-0.164835165,-0.182320442,0.005524862,0.146666667,0.076923077
3084,C29,1106,1080.45,0.0889,-0.003815,0.002993,-0.000822,14,32.4000015,92,94,129,86,-0.06122449,-0.223880597,-0.164835165,-0.176470588,0,0.118421053,0.064327485
3085,C29,1108,1080.52,0.2086,-0.003706,0.003509,-0.000196,11.8000002,32.7999992,92,89,131,89,-0.065326633,-0.233576642,-0.178378378,-0.18556701,0,0.124183007,0.052023121
3086,C29,1196,1080.62,0.143,0.009233,-0.008218,0.001015,11.1999998,28.6000004,90,89,134,87,-0.079207921,-0.227941176,-0.178378378,-0.183673469,-0.038251366,0.122580645,0.111111111
3108,C29,1238,1079.99,0.0962,0.007153,-0.004677,0.002475,22,54.2999992,96,85,114,76,-0.063157895,-0.223076923,-0.168539326,-0.142857143,0.02247191,0.134751773,0.1375
3109,C29,1140,1080.01,0.1153,-0.001729,0.001473,-0.000255,21.7000008,42.7000008,94,85,111,76,-0.042553191,-0.234848485,-0.165714286,-0.161676647,0.071823204,0.183098592,0.134146341
